domain,est_traffic_range,top_clusters,content_depth_proxy,schema_types,backlink_strength,gap_notes
sureoak.com,50000-100000,"Insurance Agent SEO, Local SEO, Digital Marketing",high_depth_3500_words,"Article,Organization,FAQPage",high_authority_dr_65,Strong SEO presence but lacks professional liability specialization - focuses on general insurance marketing
nowspeed.com,10000-25000,"Digital Marketing, SEO Services, Web Development",medium_depth_2000_words,"Article,Organization,Service",moderate_authority_dr_45,Broad digital marketing agency without insurance industry focus or professional liability specialization
agencymarketingmachine.com,1000-5000,"Insurance Marketing, Agent Training, Lead Generation",low_depth_1200_words,"Article,Organization",low_authority_dr_25,Insurance-focused but weak SEO execution and limited professional liability content
webfx.com,200000-500000,"SEO Services, Web Design, Digital Marketing",high_depth_4000_words,"Article,Organization,Service,FAQ",very_high_authority_dr_82,Major SEO agency with insurance section but no professional liability marketing specialization
thehartford.com,500000-1000000,"Cyber Insurance, Small Business Insurance, Commercial Insurance",medium_depth_1800_words,"Product,Organization,InsuranceCompany",very_high_authority_dr_88,Major insurer with product focus - no marketing strategy content for agents
progressive.com,2000000-5000000,"Auto Insurance, Commercial Insurance, Cyber Insurance",medium_depth_1500_words,"Product,Organization,InsuranceCompany",very_high_authority_dr_92,Dominant insurer but product-focused - no agent marketing guidance
insureon.com,100000-250000,"Small Business Insurance, Professional Liability, Cyber Insurance",medium_depth_2200_words,"Product,Organization,FAQ,Article",high_authority_dr_68,Insurance broker with educational content but no marketing strategy focus
lawyersliabilityins.com,5000-15000,"Legal Malpractice, Attorney Insurance, Law Firm Coverage",medium_depth_1800_words,"Product,Organization,Article",moderate_authority_dr_38,Legal malpractice specialist but product-focused - no marketing strategy content
medpro.com,25000-75000,"Medical Malpractice, Physician Insurance, Healthcare Coverage",medium_depth_2000_words,"Product,Organization,Article",high_authority_dr_58,Medical malpractice specialist but product-focused - no marketing strategy for agents
beazley.com,50000-150000,"Cyber Insurance, Professional Indemnity, Specialty Insurance",high_depth_2800_words,"Product,Organization,Article",high_authority_dr_72,Specialty insurer with cyber focus but no agent marketing strategy content
coalition.com,15000-40000,"Cyber Insurance, Security, Risk Management",medium_depth_2200_words,"Product,Organization,Article,FAQ",moderate_authority_dr_52,Modern cyber insurer with educational content but no agent marketing focus
at-bay.com,10000-30000,"Cyber Insurance, Technology Insurance, Risk Management",medium_depth_2000_words,"Product,Organization,Article",moderate_authority_dr_48,Tech-focused cyber insurer but product-centric - no marketing strategy for agents
quotewizard.com,100000-300000,"Insurance Leads, Lead Generation, Quote Comparison",medium_depth_1600_words,"Product,Organization,Service",high_authority_dr_66,Lead generation platform but no professional liability specialization
salesforce.com,5000000-10000000,"CRM, Marketing Automation, Sales Tools",very_high_depth_5000_words,"Product,Organization,Service,FAQ,HowTo",very_high_authority_dr_95,Enterprise software giant with insurance solutions but no specialized professional liability marketing content
hubspot.com,2000000-5000000,"Marketing Automation, CRM, Inbound Marketing",very_high_depth_4500_words,"Product,Organization,Service,FAQ,HowTo",very_high_authority_dr_91,Marketing platform with insurance content but no professional liability specialization
mailchimp.com,1000000-3000000,"Email Marketing, Marketing Automation, Small Business",high_depth_3200_words,"Product,Organization,Service,FAQ",very_high_authority_dr_87,Email marketing platform with insurance guides but no professional liability focus
brightlocal.com,50000-100000,"Local SEO, Local Marketing, SEO Tools",high_depth_3000_words,"Product,Organization,Service,Article",high_authority_dr_69,Local SEO specialist with insurance content but no professional liability marketing specialization
searchenginejournal.com,500000-1000000,"SEO News, Digital Marketing, Industry Insights",very_high_depth_4000_words,"Article,Organization,NewsArticle",very_high_authority_dr_85,SEO publication with insurance SEO articles but no professional liability marketing focus
mckinsey.com,1000000-2000000,"Business Consulting, Industry Analysis, Strategy",very_high_depth_6000_words,"Article,Organization,ResearchReport",very_high_authority_dr_93,Management consulting with insurance industry reports but no specialized professional liability marketing content
