cluster_id,cluster_name,cohesion_score,keyword_count,representative_keywords,primary_intent,difficulty_range,opportunity_range,notes
1,Professional Liability Marketing,92,10,"professional liability insurance marketing, E&O insurance marketing, malpractice insurance marketing",Commercial,15-35,85-95,Core business focus with first-mover advantage in completely untapped market
2,Cyber Insurance Marketing,88,10,"cyber insurance marketing, small business cyber insurance, cyber insurance for healthcare",Commercial,20-40,80-92,High-growth opportunity in $16.3B market with 70% SMB penetration opportunity
3,Insurance Agent SEO,85,10,"insurance agent SEO, insurance website optimization, local SEO insurance agents",Commercial,32-55,65-78,Established market with manageable competition and proven demand
4,Legal Malpractice Marketing,90,10,"legal malpractice insurance marketing, law firm professional liability, attorney E&O insurance",Commercial,25-42,80-88,Rising nuclear verdicts creating urgency and demand in legal sector
5,Medical Malpractice Marketing,87,10,"medical malpractice insurance marketing, physician malpractice insurance, healthcare professional liability",Commercial,35-48,75-82,Market hardening drives demand with premium increases creating urgency
6,Location-Based Targeting,94,15,"New York professional liability SEO, Connecticut professional liability marketing, New Jersey insurance agent SEO",Commercial,32-48,75-80,Geographic expansion strategy focusing on tri-state area with established NY presence
7,Educational Content,78,8,"how to market professional liability, cyber insurance marketing strategy, insurance marketing ROI calculator",Informational,20-55,65-85,TOFU content strategy with high search volume educational opportunities
8,Tool Comparison,82,5,"best CRM for insurance agents, insurance marketing automation tools, insurance SEO tools",Commercial,38-50,70-75,Commercial intent content targeting decision-makers researching solutions
9,Industry Specific,86,5,"technology E&O insurance marketing, healthcare cyber insurance marketing, accounting professional liability marketing",Commercial,28-40,80-85,Vertical market specialization with niche targeting opportunities
10,Long-tail Opportunities,89,5,"small law firm malpractice insurance, startup cyber insurance needs, telemedicine malpractice insurance marketing",Commercial,25-35,85-88,Highly specific niche opportunities with minimal competition
11,FAQ Content,83,7,"what is professional liability insurance, do I need cyber insurance, how much does E&O insurance cost",Informational,35-55,70-75,Voice search optimization and featured snippet opportunities
12,Competitive Analysis,75,3,"insurance agent SEO vs PPC, professional liability insurance comparison, cyber insurance vs data breach insurance",Mixed,35-50,68-75,Decision-making content with comparison shopping intent
