week,publish_date,content_type,working_title,primary_keyword,secondary_keywords,search_intent,target_persona,funnel_stage,internal_links_in,internal_links_out,cta,brief_path
1,2025-01-27,Landing,Complete Guide to Professional Liability Insurance Marketing,professional liability insurance marketing,"E&O insurance marketing, malpractice insurance marketing, professional indemnity marketing",Commercial,Insurance Agency Owner,MOFU,index.html,professional-liability-seo.html,Get Your Free Marketing Analysis,briefs/2025-01-27_professional-liability-marketing-guide.md
1,2025-01-29,Landing,Cyber Insurance Marketing for Small Businesses,cyber insurance marketing,"small business cyber insurance, cyber liability marketing, SMB cyber coverage",Commercial,Insurance Agent,MOFU,index.html,about.html,Request Cyber Insurance Demo,briefs/2025-01-29_cyber-insurance-marketing-smb.md
1,2025-01-31,Blog,Insurance Agent SEO: Complete 2025 Strategy Guide,insurance agent SEO,"insurance SEO services, insurance website optimization, local SEO insurance agents",Commercial,Insurance Producer,TOFU,professional-liability-seo.html,new-york-professional-liability-seo.html,Download SEO Checklist,briefs/2025-01-31_insurance-agent-seo-guide.md
2,2025-02-03,How-to,How to Generate Insurance Leads with Digital Marketing,insurance lead generation,"insurance leads online, insurance marketing automation, insurance PPC advertising",Commercial,Agency Manager,MOFU,index.html,contact.html,Get Lead Generation Audit,briefs/2025-02-03_digital-lead-generation-guide.md
2,2025-02-05,Landing,New York Professional Liability Insurance Marketing,New York professional liability SEO,"NY professional liability, NYC professional liability marketing, New York E&O insurance",Commercial,NY Insurance Agent,BOFU,professional-liability-seo.html,legal-malpractice-insurance-seo.html,Schedule NY Market Analysis,briefs/2025-02-05_ny-professional-liability-marketing.md
2,2025-02-07,Blog,Legal Malpractice Insurance Marketing: 2025 Strategies,legal malpractice insurance marketing,"lawyer malpractice marketing, law firm professional liability, attorney E&O insurance",Commercial,Legal Insurance Specialist,MOFU,professional-liability-seo.html,about.html,Download Legal Marketing Kit,briefs/2025-02-07_legal-malpractice-marketing.md
3,2025-02-10,Comparison,Best Insurance Marketing Automation Tools 2025,insurance marketing automation,"insurance automation tools, insurance automation platforms, best CRM for insurance agents",Commercial,Technology-Focused Agent,MOFU,contact.html,index.html,Compare Tools Demo,briefs/2025-02-10_insurance-automation-tools.md
3,2025-02-12,FAQ,What is Professional Liability Insurance Marketing?,professional liability definition,"what is professional liability insurance, E&O insurance definition, professional indemnity explanation",Informational,Business Owner,TOFU,index.html,professional-liability-seo.html,Learn More About Coverage,briefs/2025-02-12_professional-liability-definition.md
3,2025-02-14,Landing,Medical Malpractice Insurance Marketing Solutions,medical malpractice insurance marketing,"healthcare malpractice marketing, physician malpractice insurance, doctor liability insurance",Commercial,Healthcare Insurance Agent,MOFU,professional-liability-seo.html,contact.html,Get Healthcare Demo,briefs/2025-02-14_medical-malpractice-marketing.md
4,2025-02-17,How-to,Local SEO for Insurance Agents: Step-by-Step Guide,local SEO insurance agents,"insurance local search, Google My Business insurance, local insurance marketing",Informational,Independent Agent,TOFU,new-york-professional-liability-seo.html,about.html,Download Local SEO Kit,briefs/2025-02-17_local-seo-insurance-guide.md
